"","""control""","""mtbi""","""p""","""test"""
"""n""","   28","   30","",""
"""sex = male (%)""","   19 (67.9) ","   23 (76.7) "," 0.648",""
"""age (mean (sd))""","30.79 (9.29)","35.43 (10.31)"," 0.077",""
"""education (mean (sd))""","16.80 (2.56)","15.25 (3.19)"," 0.046",""
"""wtar (mean (sd))""","41.07 (5.79)","38.00 (7.86)"," 0.102",""
